ds	trend	cap	yhat_lower	yhat_upper	trend_lower	trend_upper	Anzac Day	Anzac Day_lower	Anzac Day_upper	Auckland Anniversary Day	Auckland Anniversary Day_lower	Auckland Anniversary Day_upper	Boxing Day	Boxing Day_lower	Boxing Day_upper	Christmas Day	Christmas Day_lower	Christmas Day_upper	Day after New Year's Day	Day after New Year's Day_lower	Day after New Year's Day_upper	Easter Monday	Easter Monday_lower	Easter Monday_upper	Good Friday	Good Friday_lower	Good Friday_upper	Labour Day	Labour Day_lower	Labour Day_upper	New Year's Day	New Year's Day_lower	New Year's Day_upper	Queen's Birthday	Queen's Birthday_lower	Queen's Birthday_upper	Waitangi Day	Waitangi Day_lower	Waitangi Day_upper	extra_regressors_multiplicative	extra_regressors_multiplicative_lower	extra_regressors_multiplicative_upper	holidays	holidays_lower	holidays_upper	multiplicative_terms	multiplicative_terms_lower	multiplicative_terms_upper	rain	rain_lower	rain_upper	sun	sun_lower	sun_upper	temp	temp_lower	temp_upper	weekly	weekly_lower	weekly_upper	wind	wind_lower	wind_upper	yearly	yearly_lower	yearly_upper	additive_terms	additive_terms_lower	additive_terms_upper	yhat
2016-01-01	1150.081522032147	2056.9221894390726	-536.4619179604686	3040.409032155332	1045.8747722174166	1208.8184190131783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04800594011842593	-0.007135925302488637	0.11145020900445088	0.0	0.0	0.0	0.0	0.0	0.0	-0.1438288508257499	-0.4250559767446732	0.018234800085758746	0.04800594011842593	-0.007135925302488637	0.11145020900445088	-0.07294764515994727	-0.44071998667246237	0.14744494889649343	-0.07837274270051978	-0.2457205191681358	0.009308333706962024	-0.08184629587510457	-0.2342285887261528	0.010554646295691807	0.020880797649948307	-0.000888270736003991	0.06648436689995113	0.00823295767697937	-0.041784564758997764	0.0839334262739332	-0.0044906099000738536	-0.011591235750335754	-0.0007399091808910944	0.0146423078703973	-0.08532965417324222	0.21692546536356327	0.0	0.0	0.0	1066.185783257934
2016-01-02	1150.1212154877871	2056.9221894390726	-732.0999816731589	2957.0774793362043	1045.881798373898	1208.8576961095807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.023046271862701258	-0.04777430170311916	0.004292140800677305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.13280371267241148	-0.3766148329533371	0.009749403549726378	-0.023046271862701258	-0.04777430170311916	0.004292140800677305	-0.1366557749046662	-0.5238918960962964	0.13849771804577024	-0.04149047814896109	-0.13008428032504338	0.004927825707819518	-0.08184629587510457	-0.2342285887261528	0.010554646295691807	0.02013051078099382	-0.0008563534749647803	0.06409545684430919	0.009469973108866556	-0.043216385729853944	0.14831927110988294	-0.029597449429339655	-0.07639742074645009	-0.004876714978820166	0.009724236521579983	-0.08862065210100264	0.19638686297863767	0.0	0.0	0.0	992.950509551007
2016-01-03	1150.1609085758435	2056.9221894390726	-421.63906311889855	2992.1107544692395	1045.8888245287528	1208.8969726630742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019965408988649545	-0.019967091132347743	0.07980511534889445	0.0	0.0	0.0	0.07340199165669854	-0.06798447126452349	0.21293392730739158	0.008519372090440526	-0.0010118461554245587	0.026710619801183617	-0.04488763492146075	-0.12845990483127764	0.005788571181878873	0.05996392273275945	-0.0025508698792283233	0.1909248634347534	0.048026423151126714	-0.0018450251438811762	0.09689063827198374	-0.0036302509130896905	-0.009370463055764918	-0.000598149480650538	0.005410159516922297	-0.08981645058575602	0.17440395690836585	0.0	0.0	0.0	1234.5850099909883
2016-01-04	1150.2006012961997	2056.9221894390726	-784.5532604709738	2937.6383161071362	1045.8958506819802	1208.936248673548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.023046271862701258	-0.04777430170311916	0.004292140800677305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02371088939234789	-0.013259805343219164	0.08192132512031448	-0.023046271862701258	-0.04777430170311916	0.004292140800677305	-0.05274694834384149	-0.21997000862236754	0.04714469110593576	0.010394741474418089	-0.0012345838502962115	0.032590428555917136	-0.03667459915398437	-0.10495575285463873	0.004729443378809333	0.041888829980674024	-0.0017819540451018863	0.13337384845792508	-0.055198358448622656	-0.16531824525451566	0.02586938020681555	0.00810191709124015	0.0013349373408116489	0.020912800961111	0.0017867925751345484	-0.08887836095731762	0.1514619381388514	0.0	0.0	0.0	1089.5310295945735
2016-01-05	1150.2402936487385	2056.9221894390726	-684.9309163842547	2930.9844022029483	1045.9028768335797	1208.9755241408916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06440953541714639	-0.001668735498597604	0.1880020357445449	0.0	0.0	0.0	0.0754251484135355	-0.011221254852476891	0.14315224693868642	0.010394741474418089	-0.0012345838502962115	0.032590428555917136	0.019447811923771045	-0.0025079299421658617	0.055655952319060495	0.017470402791064262	-0.000743192276734852	0.055625684828851454	0.012095550979810429	-0.037061349574413996	0.04137941068836995	0.017096579227892993	0.002816970570599321	0.044129970040715796	-0.00107993798342134	-0.08581078475285324	0.1280475407001248	0.0	0.0	0.0	1236.9973385084234
2016-01-06	1150.2799856333443	2056.9221894390726	-406.4434084375906	2907.5997720106307	1045.9099029835506	1209.0147990649941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03355463281053968	-0.002422792591376046	0.1051887974835147	0.0	0.0	0.0	0.041550002285859984	-0.07090756240912884	0.1180570030789595	0.010394741474418089	-0.0012345838502962115	0.032590428555917136	0.003021740388818246	-0.0003896743360267809	0.008647648365782684	0.019857679192283057	-0.0008447471982232477	0.0632267622786211	0.01114172995499352	-0.05447234121056568	0.09352928299518785	0.0002804717550202752	4.6212793170194215e-05	0.0007239582831937726	-0.0031463604796732113	-0.08066107739974307	0.10463696821628532	0.0	0.0	0.0	1198.0741216657887
2016-01-07	1150.3196772499	2056.9221894390726	-604.8855540304716	2828.7472520192277	1045.9169291318926	1209.0540734457447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.029176044825069518	-0.06403671774072771	-0.00025802898399230766	0.0	0.0	0.0	-0.06733623299643719	-0.1275462648986145	-0.008076494166617376	0.010394741474418089	-0.0012345838502962115	0.032590428555917136	-0.04762531351061957	-0.13629462215682395	0.006141613782902054	0.03131660591813353	-0.0013322108213675583	0.09971193403751628	-0.03376827642288584	-0.08191651362875943	0.010008914867801642	-0.02326207870700158	-0.06004445817733718	-0.0038328480952305906	-0.004391911748481832	-0.07351846202568846	0.0816844076734712	0.0	0.0	0.0	1072.8614834422142
2016-01-08	1150.3593684982893	2056.9221894390726	-677.3302859317995	2807.452237004274	1045.9239552786046	1209.0933472830332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.24291664508853078	-0.739428452985764	0.03342312149654407	0.0	0.0	0.0	-0.23950304480839943	-0.8457250352953705	0.026337307063552265	-0.21214909209091912	-0.6651468770057932	0.025196955941139933	-0.07637093869678699	-0.21855915407506016	0.009848561093645446	0.044071482690359806	-0.001874804259034135	0.14032340498342885	0.008232957677052562	-0.04178456475887955	0.08393342627411479	0.0015319030088154326	0.00025240872079282324	0.003954173111660471	-0.004819357396921171	-0.0645120175507269	0.05961143795493531	0.0	0.0	0.0	874.8447971190815
2016-01-09	1150.3990593783956	2056.9221894390726	-682.3624836363863	2848.999488115404	1045.9309814236858	1209.1326205767484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054287625404908835	-0.0099093441972973	0.17426002057898707	0.0	0.0	0.0	0.059303224916305325	-0.06865862214870322	0.25432303810500007	0.009144495218433048	-0.0010860920537151097	0.02867055605276146	0.03176736557498565	-0.004096621646770173	0.09091218028401887	0.03343105073064157	-0.0014221594661144217	0.10644431692159788	0.009469973108833078	-0.04321638573008291	0.14831927111010448	-0.020055286119151437	-0.05176703267939114	-0.0033044710306975957	-0.004454373597436573	-0.059487785216963684	0.06447704451821853	0.0	0.0	0.0	1218.6214335402185
2016-01-10	1150.4387498901024	2056.9221894390726	-533.2494824497703	3062.9233897400395	1045.938007567136	1209.1718933267796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.03696143833994851	-0.08293805932951291	-0.003571405850287546	0.0	0.0	0.0	0.007720481690944818	-0.07446471672822845	0.11455162586443683	0.010394741474418089	-0.0012345838502962115	0.032590428555917136	-0.03941227774314316	-0.11279047018018504	0.005082485979832513	0.029474992694336122	-0.001253868453362222	0.09384824571912237	0.04802642315110429	-0.0018450251438191592	0.09689063827183618	-0.03741889476555957	-0.0965862634243674	-0.006165439526461626	-0.00334450312021094	-0.055913122024891806	0.07396007079328233	0.0	0.0	0.0	1159.3206911951825
