ds	holiday
2013-01-01	New Year's Day
2013-01-02	Day after New Year's Day
2013-01-28	Auckland Anniversary Day
2013-02-06	Waitangi Day
2013-03-29	Good Friday
2013-04-01	Easter Monday
2013-04-25	Anzac Day
2013-06-03	Queen's Birthday
2013-10-28	Labour Day
2013-12-25	Christmas Day
2013-12-26	Boxing Day
2014-01-01	New Year's Day
2014-01-02	Day after New Year's Day
2014-01-27	Auckland Anniversary Day
2014-02-06	Waitangi Day
2014-04-18	Good Friday
2014-04-21	Easter Monday
2014-04-25	Anzac Day
2014-06-02	Queen's Birthday
2014-10-27	Labour Day
2014-12-25	Christmas Day
2014-12-26	Boxing Day
2015-01-01	New Year's Day
2015-01-02	Day after New Year's Day
2015-01-26	Auckland Anniversary Day
2015-02-06	Waitangi Day
2015-04-03	Good Friday
2015-04-06	Easter Monday
2015-04-25	Anzac Day
2015-04-27	Anzac Day
2015-06-01	Queen's Birthday
2015-10-26	Labour Day
2015-12-25	Christmas Day
2015-12-26	Boxing Day
2015-12-28	Boxing Day
2016-01-01	New Year's Day
2016-01-02	Day after New Year's Day
2016-01-04	Day after New Year's Day
2016-02-01	Auckland Anniversary Day
2016-02-06	Waitangi Day
2016-02-08	Waitangi Day
2016-03-25	Good Friday
2016-03-28	Easter Monday
2016-04-25	Anzac Day
2016-06-06	Queen's Birthday
2016-10-24	Labour Day
2016-12-25	Christmas Day
2016-12-26	Boxing Day
2016-12-27	Christmas Day
2017-01-01	New Year's Day
2017-01-02	Day after New Year's Day
2017-01-03	New Year's Day
2017-01-30	Auckland Anniversary Day
2017-02-06	Waitangi Day
2017-04-14	Good Friday
2017-04-17	Easter Monday
2017-04-25	Anzac Day
2017-06-05	Queen's Birthday
2017-10-23	Labour Day
2017-12-25	Christmas Day
2017-12-26	Boxing Day
2018-01-01	New Year's Day
2018-01-02	Day after New Year's Day
2018-01-29	Auckland Anniversary Day
2018-02-06	Waitangi Day
2018-03-30	Good Friday
2018-04-02	Easter Monday
2018-04-25	Anzac Day
2018-06-04	Queen's Birthday
2018-10-22	Labour Day
2018-12-25	Christmas Day
2018-12-26	Boxing Day
